video_id,link,account,desc,harmful,reasoning,day
7530357500676181270,https://www.tiktok.com/@temp/video/7530357500676181270,logs_c1,#mamma #thiago #fedesumo❣️ #bergamo,not harmful,"The description does not indicate any content related to the harmful categories listed, such as disordered eating, self-harm, dangerous activities, or any other harmful behavior. It appears to be a personal or family-related post, likely involving a location or event.",Saturday
7529940066978778390,https://www.tiktok.com/@temp/video/7529940066978778390,logs_c1,Dramma a Formentera! Turista romano aggredito da psicopatico di Cologno Monzú. SKIBIDIBOPPI #robertocenci #paolobonolis,not harmful,"The description does not appear to fall under any of the harmful content categories listed. It seems to describe a dramatic or humorous situation without explicit mention of violence, hate speech, or other harmful activities.",Saturday
7529744962682948870,https://www.tiktok.com/@temp/video/7529744962682948870,logs_c1,nothing beats a jet2 holiday. follow for part 2 #jet2holidays #summer #fishing #fyp,not harmful,"The description promotes a holiday experience and does not fall under any of the harmful content categories such as disordered eating, self-harm, dangerous activities, or any other listed harmful content.",Saturday
7528575429469326614,https://www.tiktok.com/@temp/video/7528575429469326614,logs_c1,hem acabat anant a urgències JAJJA,harmful,"The description suggests a situation that led to an emergency room visit, which could imply dangerous activity or challenges. This type of content may encourage risky behavior among minors.",Saturday
7528006372076588310,https://www.tiktok.com/@temp/video/7528006372076588310,logs_c1,#parati #viral #camionera #🚛,not harmful,"The description does not indicate any content related to the harmful categories listed, such as disordered eating, self-harm, dangerous activities, or any other harmful behavior. It appears to be a general or promotional tag for a video, likely related to trucking or a truck driver.",Saturday
7530588626183343382,https://www.tiktok.com/@temp/video/7530588626183343382,logs_c1,Il video completo l’ha pubblicato il negozio 👉🏻 @The Vintage Bazar,not harmful,"The description appears to be promoting a store or a product from a store, which does not fall under any of the harmful content categories listed.",Saturday
7528390461778611478,https://www.tiktok.com/@temp/video/7528390461778611478,logs_c1,Tagga quell’amico⚽️🤣#TikTokCalcio #football #Calcio #soccer #skillscrewhd #footballchallenge,not harmful,"The description refers to a football (soccer) challenge and tagging a friend, which does not fall under any of the harmful content categories listed. It appears to be related to sports and friendly interaction.",Saturday
7526898772014632214,https://www.tiktok.com/@temp/video/7526898772014632214,logs_c1,,unclear,"I'm sorry, but I need a specific TikTok video description to classify it as 'harmful' or 'not harmful'. Please provide the description you would like me to evaluate.",Saturday
7529854406465015062,https://www.tiktok.com/@temp/video/7529854406465015062,logs_c1,no rega spiegatemi #paranormal #mare #perte #aiuto #hopaura,not harmful,"The description appears to reference a paranormal or supernatural theme, which is not inherently harmful. It does not fall under any of the harmful content categories such as disordered eating, self-harm, or dangerous activities.",Saturday
7528888745299283222,https://www.tiktok.com/@temp/video/7528888745299283222,logs_c1,,unclear,"I'm sorry, but I need a description of the TikTok video to classify it as harmful or not harmful. Could you please provide more details?",Saturday
7530616669979577622,https://www.tiktok.com/@temp/video/7530616669979577622,logs_c1,REALLY? #storytime #temptationisland #storytelling #inspofashion #simonerebecca #simonetempation #inspofashion #temptation,not harmful,"The description does not indicate any content related to the harmful categories listed. It appears to be related to storytelling and fashion inspiration, which are generally safe topics.",Saturday
7528759783734693142,https://www.tiktok.com/@temp/video/7528759783734693142,logs_c1,hahahahah #ultimo #concerto #viral #summer,not harmful,"The description does not indicate any content related to the harmful categories listed. It appears to be about a concert, which is generally safe for all audiences.",Saturday
7529485763155610902,https://www.tiktok.com/@temp/video/7529485763155610902,logs_c1,Deborah già bloccata,not harmful,"The description ""Deborah già bloccata"" does not appear to fall under any of the harmful content categories listed. It does not suggest any disordered eating, self-harm, dangerous activities, or any other harmful behavior.",Saturday
7529971122524163350,https://www.tiktok.com/@temp/video/7529971122524163350,logs_c1,La mia reazione da due giorni😳,not harmful,"The description ""La mia reazione da due giorni😳"" (translated as ""My reaction for two days😳"") does not indicate any content related to the harmful categories listed. It appears to be a personal reaction or expression, which is not inherently harmful.",Saturday
7530327977503001878,https://www.tiktok.com/@temp/video/7530327977503001878,logs_c1,ATTENZIONE #fyp #fypp #perte #cane #creepyvideos #mascheradacane #attenzione,not harmful,"The description does not indicate any content related to the harmful categories listed. It appears to be related to a video featuring a dog mask, which does not inherently suggest harmful content.",Saturday
7529222658802584854,https://www.tiktok.com/@temp/video/7529222658802584854,logs_c1,#sinner #janniksinner #carwash #812comperizione #ferrari,not harmful,The description appears to be about a car wash involving a Ferrari and does not fall under any of the harmful content categories listed.,Saturday
7530534267160399126,https://www.tiktok.com/@temp/video/7530534267160399126,logs_c1,Mia mamma icona n.1 😂 #laureamagistrale #perte,not harmful,"The description does not fall under any of the harmful content categories listed. It appears to be a lighthearted or humorous post, likely related to a personal or family achievement, such as a graduation.",Saturday
7528408301990694166,https://www.tiktok.com/@temp/video/7528408301990694166,logs_c1,,unclear,"I'm sorry, but I need a description of the TikTok video to classify it as harmful or not harmful. Please provide the description so I can assist you further.",Saturday
7529589277265513750,https://www.tiktok.com/@temp/video/7529589277265513750,logs_c1,Scanning like iniesta at the end😂  #jet2holidays #jet2 #prank #airport #airportprank,not harmful,"The description suggests a light-hearted prank at an airport, which does not fall under any of the harmful content categories listed. It appears to be intended for humor without any indication of dangerous or harmful behavior.",Saturday
7529634534808177976,https://www.tiktok.com/@temp/video/7529634534808177976,logs_c1,@akhuy 🤩🤩🤩,not harmful,"The description ""@akhuy 🤩🤩🤩"" does not indicate any content related to the harmful categories listed. It appears to be a simple mention or tag with emojis, which is not inherently harmful.",Saturday
7530237566134652182,https://www.tiktok.com/@temp/video/7530237566134652182,logs_c1,folliaaaa #malta #perte,not harmful,"The description does not indicate any content related to the harmful categories listed, such as disordered eating, self-harm, dangerous activities, or any other harmful behavior. It appears to be a general or location-based tag.",Saturday
7529914164446366998,https://www.tiktok.com/@temp/video/7529914164446366998,logs_c1,,unclear,"I'm sorry, but I need a description of the TikTok video to classify it as harmful or not harmful. Could you please provide more details?",Saturday
7528564069805165846,https://www.tiktok.com/@temp/video/7528564069805165846,logs_c1,,unclear,"I'm sorry, but I need a description of the TikTok video to classify it as harmful or not harmful. Please provide the description so I can assist you further.",Saturday
7531077279141645590,https://www.tiktok.com/@temp/video/7531077279141645590,logs_c1,"Leggi il mio romanzo “Chi sta male non lo dice”, il link è nella bio. #scegliere #persone #panchine #utile",not harmful,The description is promoting a novel and does not fall under any of the harmful content categories listed. It does not contain any explicit or harmful content that would be inappropriate for minors.,Saturday
7530741601904102678,https://www.tiktok.com/@temp/video/7530741601904102678,logs_c1,@Salvatore Guida decisamente impazzito 🤣🤣 Lo zio più bravo d'italia ❤️ #witty #temptationisland #tentatore #perte #foryou #uominiedonne #canale5,not harmful,"The description does not contain any references to disordered eating, self-harm, dangerous activities, nudity, sexually suggestive content, graphic content, hate speech, abuse, human trafficking, gambling, drugs, or any other harmful content categories. It appears to be a lighthearted or humorous post about a person, likely intended for entertainment.",Saturday
7529657626947374349,https://www.tiktok.com/@temp/video/7529657626947374349,logs_c1,#jet2holidays #fy #fyp #xyzbca,not harmful,"The description contains hashtags related to holidays and popular TikTok tags, with no indication of harmful content based on the provided framework.",Saturday
7530371868683930902,https://www.tiktok.com/@temp/video/7530371868683930902,logs_c1,#adolescentes #viralvideotiktok #fijitiktok,not harmful,"The description does not indicate any content related to the harmful categories listed, such as disordered eating, self-harm, dangerous activities, or any other harmful behavior. It appears to be a general tag for a viral video.",Saturday
7529576424014105878,https://www.tiktok.com/@temp/video/7529576424014105878,logs_c1,si,not harmful,"The description ""si"" does not provide any context or content that falls under the harmful content framework categories. It is simply a word that means ""yes"" in Spanish and does not imply any harmful activity or behavior.",Saturday
7529874939801881878,https://www.tiktok.com/@temp/video/7529874939801881878,logs_c1,STA  ANDANDO TUTTO AL CONTRARIO😂,not harmful,"The description ""STA ANDANDO TUTTO AL CONTRARIO😂"" translates to ""Everything is going the opposite way😂"" and does not indicate any harmful content based on the provided framework. It seems to be a humorous or lighthearted statement.",Saturday
7529197422594100502,https://www.tiktok.com/@temp/video/7529197422594100502,logs_c1,olè,not harmful,"The description ""olè"" does not fall under any of the harmful content categories listed. It appears to be a benign expression or exclamation without any context suggesting harm.",Saturday
7526655092469075222,https://www.tiktok.com/@temp/video/7526655092469075222,logs_c1,One from the drafts while waiting on our flight 🫶🏽 #girlmum #mumanddaughter #mygirl #fyp #fyppp #jet2holidays #girlmum #family #trend #tinydancer #weearia,not harmful,"The description appears to be about a family moment while waiting for a flight, with hashtags indicating a focus on family and travel. There is no indication of harmful content related to the specified categories.",Saturday
7529636968813055254,https://www.tiktok.com/@temp/video/7529636968813055254,logs_c1,Y esta colaboración ? @𝖆𝖕𝖔𝖑𝖔 @Tati @Fabio Ferrucci @Cristiano🌓 @Viola Silvi,not harmful,The description appears to be a simple mention of a collaboration with other users and does not indicate any content related to the harmful categories listed.,Saturday
7530096025059544342,https://www.tiktok.com/@temp/video/7530096025059544342,logs_c1,#omfalofobia 😂😂😂😂😂,not harmful,"The description ""#omfalofobia 😂😂😂😂😂"" does not indicate any content related to the harmful categories listed. It appears to be a light-hearted or humorous reference to omphalophobia, which is the fear of belly buttons, and does not suggest any harmful content.",Saturday
7529227336785399062,https://www.tiktok.com/@temp/video/7529227336785399062,logs_c1,Non era previsto ..,not harmful,"The description ""Non era previsto"" translates to ""It was not planned"" in English. This statement does not inherently fall under any of the harmful content categories listed, such as disordered eating, self-harm, or dangerous activities. Without additional context indicating harmful content, it is considered not harmful.",Saturday
7529898398590258454,https://www.tiktok.com/@temp/video/7529898398590258454,logs_c1,Turista a mykonos #perte #fyp #neiperte #viraltrend #viralreels #mykonos #myk,not harmful,The description appears to be about a tourist experience in Mykonos and does not indicate any content related to the harmful categories listed.,Saturday
7528553369833721110,https://www.tiktok.com/@temp/video/7528553369833721110,logs_c1,BOB #dreads,not harmful,"The description simply mentions a name and a hashtag related to a hairstyle (dreads), which does not fall under any of the harmful content categories listed.",Saturday
7529589374544055554,https://www.tiktok.com/@temp/video/7529589374544055554,logs_c1,,unclear,"I'm sorry, but I need a description of the TikTok video to classify it as harmful or not harmful. Could you please provide more details?",Saturday
7530354678190591254,https://www.tiktok.com/@temp/video/7530354678190591254,logs_c1,@alicee,not harmful,"The description ""@alicee"" does not contain any content that falls under the harmful categories listed. It appears to be a simple mention or tag of a user without any context suggesting harmful content.",Saturday
7528096946246946070,https://www.tiktok.com/@temp/video/7528096946246946070,logs_c1,#LIVEIncentiveProgram #GoLIVEGrowFast #PaidPartnership,not harmful,"The description does not indicate any content related to the harmful categories listed. It appears to be promoting a live event or partnership program, which is generally safe for all audiences.",Saturday
7528111917056019734,https://www.tiktok.com/@temp/video/7528111917056019734,logs_c1,Quando gli ospiti effettuano il checkout lasciano ciò che non serve più loro: l’acqua in primis! #acqua#checkout #benvenutialsud #tourists #casavacanza #property #affittibrevi #palermo #accoglienzaturistica #holidayvibes #water #acqua #dettaglichefannoladifferenza #cosechenonsapevi #vitadahost,not harmful,"The description discusses tourists leaving behind items, such as water, when they check out. It does not fall under any of the harmful content categories listed and does not pose a risk to minors.",Saturday
7529870976146787606,https://www.tiktok.com/@temp/video/7529870976146787606,logs_c1,lasciami stare dai,not harmful,"The description ""lasciami stare dai"" translates to ""leave me alone"" in English. It does not fall under any of the harmful content categories listed, such as disordered eating, self-harm, or hate speech. It appears to be a benign statement without context indicating harm.",Saturday
7530190995493850390,https://www.tiktok.com/@temp/video/7530190995493850390,logs_c1,mi manchi..,not harmful,"The phrase ""mi manchi"" translates to ""I miss you"" in English. It does not fall under any of the harmful content categories listed and is generally a benign expression of missing someone.",Saturday
7528932987824590102,https://www.tiktok.com/@temp/video/7528932987824590102,logs_c1,🤡 #casanuova #benemanonbenissimo,not harmful,"The description does not indicate any content related to the harmful categories listed, such as disordered eating, self-harm, dangerous activities, or any other harmful behavior. It appears to be a playful or humorous post, likely referencing a personal or cultural context.",Saturday
7528097665817595158,https://www.tiktok.com/@temp/video/7528097665817595158,logs_c1,"Ciao tato , me lo hai chiesto .. lo fatto , nuota libero amore mio ❤️",not harmful,The description appears to be a personal message or expression of affection and does not fall under any of the harmful content categories listed.,Saturday
7529179927665610007,https://www.tiktok.com/@temp/video/7529179927665610007,logs_c1,,unclear,"I'm sorry, but I need a description of the TikTok video to classify it as harmful or not harmful. Could you please provide more details?",Saturday
7529607971307867447,https://www.tiktok.com/@temp/video/7529607971307867447,logs_c1,When you don’t know the rules,not harmful,"The description ""When you don’t know the rules"" does not fall under any of the harmful content categories such as disordered eating, self-harm, dangerous activities, or any other listed harmful content. It is vague and does not suggest any harmful behavior or content.",Saturday
