video_id,desc,harmful,reasoning
7526089595210009878,"Ogni volta che andavo a fare benzina da lui, gli chiedevo sempre come stesse, lui mi ha sempre dato la stessa risposta: “VIVO”, ed io ci pensavo sempre che fondamentalmente è vero no? Alla fine siamo VIVI, qualsiasi cosa accada, abbiamo questo privilegio, non possiamo permettere a niente e nessuno di toglierci una cosa così importante e unica. GRAZIE BUBAH, per avermelo ricordato più volte, adesso non dimenticherò mai.",not harmful,"The description reflects on the value of life and gratitude, which is positive and uplifting. It does not contain any harmful content as per the framework provided."
7525374920298188054,C’è chi balla e c’è chi mente 💃 #Nazionale #Azzurre #LeAzzurreSiamoNoi #WEURO2025 #raffaellacarrà,not harmful,"The description appears to be about dancing and supporting a national sports team, with no indication of harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation."
7524292924507426078,#tiktok #baby,not harmful,"The description ""#tiktok #baby"" does not indicate any harmful content as per the provided framework. It likely refers to content involving babies, which is generally safe for all audiences."
7522514239014112534,7522886759479250198 7524020494203538710 7522871370028420374 7522236059296484630 7519791753583512854 offerto da Tognana* La prima di tante scoperte con questa friggitrice ad aria🫶🏼 (Tra l’altro comodissima perché ha anche il display touch e la luce interna per vedere come procede la cottura dei cibi🥹) @Tognana #tognana #friggitriceadaria #ricetteveloci @Alessia #truestory fit check with @guessjeans 🌟 #GUESSJEANSpartner comunque non gli brucia più❤️ #pov #fyp #videos #vira #tik_tok Puoi acquistarlo cliccando sull’icona del carrello🩵🪄,not harmful,"The description promotes a kitchen appliance and a clothing brand, which does not fall under any harmful content categories. It is a typical product promotion and does not contain any mature themes, shocking content, or misinformation."
7524693906202660118,Coincidenza da film 🍿,not harmful,"The description ""Coincidenza da film"" translates to ""Movie-like coincidence"" and does not suggest any harmful content based on the provided framework. It appears to be a benign statement likely related to an interesting or surprising event."
7523246058491907350,"Se hai le cosce che sfregano sempre tra di loro questo vestito è la salvezza! Puoi muoverti come vuoi, le cosce non ti danno fastidio, gli shorts non salgono nè stringono, non devi fare attenzione a dove e come ti siedi. Oltre a essere comunque femminile ed elegante. Ogni volta che dico che ha gli shorts sotto (con taschini) nessuno ci crede! E il vestito è scollegato dagli shorts dietro per poter andare in bagno senza doverlo sfilare. Questa è la chicca di cui vado più fiera #coscechesfregano #consigliodasorea #gambegonfie #outfit #outfitdelgiorno #outfitinspo",not harmful,"The description promotes a clothing item designed for comfort and practicality, particularly for those who experience chafing. It does not contain any harmful content related to the specified categories."
7524415474935893270,New look in Zanzibar 😆 #fyp #zanzibar #zanzibartiktok #zanzibar🇹🇿 #zanzibarisland,not harmful,"The description appears to be about a new look or style in Zanzibar, which does not fall under any of the harmful content categories listed. It seems to be a lighthearted or humorous post, likely related to fashion or travel."
7522514239014112534,offerto da Tognana* La prima di tante scoperte con questa friggitrice ad aria🫶🏼 (Tra l’altro comodissima perché ha anche il display touch e la luce interna per vedere come procede la cottura dei cibi🥹) @Tognana #tognana #friggitriceadaria #ricetteveloci,not harmful,The description is promoting a kitchen appliance (an air fryer) and does not contain any content related to the harmful categories outlined in the framework.
7524775660254989590,Amore stasera ti porto a cena fuori🖤,not harmful,"The description simply states an intention to go out for dinner, which does not fall under any of the harmful content categories listed."
7525378106174016824,,unclear,"I'm sorry, but I need a specific video description to classify it as 'harmful' or 'not harmful'. Could you please provide the description?"
7522886759479250198,,unclear,"I'm sorry, but I need a specific video description to classify it as 'harmful' or 'not harmful'. Please provide the description you would like me to evaluate."
7524312585190018327,@cam👩🏼‍🦰 mi faceva ridere,not harmful,"The description is in Italian and translates to ""it made me laugh."" There is no indication of harmful content related to the specified categories."
7525159743791402262,"Finalmente posso svelarvi, chi è questo “AMICO”(sul canale dei maturi)💗💌🤦🏼‍♀️",not harmful,"The description does not contain any references to harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation. It appears to be a teaser or announcement about revealing a friend, which is not harmful."
7522507818218360086,Tall Girl 💅 #fyp #tallgirl,not harmful,"The description does not contain any references to harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation. It appears to be a simple reference to being tall, which is not inherently harmful."
7524401381256465686,Polizia Stradale: Un poliziotto tenta di segnalare un tamponamento a catena allo svincolo di Nocera,not harmful,"The description appears to be about a police officer attempting to manage a traffic incident, which does not fall under any of the harmful content categories listed."
7524354696849460503,"Con la tattica del prezzo sbagliato, spariscono le indecisioni! 😂✨",not harmful,"The description appears to be a humorous or light-hearted comment about pricing tactics, which does not fall under any of the harmful content categories listed."
7524836677697817878,Da far paura. #perteeee#virale#tik_tok#viralvideotiktok#andiamoneiperte#videovirali#perte#foryour#andiamovirali#napoli,not harmful,"The description does not contain any references to harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation. It appears to be a general description for a viral video."
7525382852557475094,,unclear,"I'm sorry, but I need a specific video description to classify it as 'harmful' or 'not harmful'. Please provide the description you would like me to evaluate."
7519791753583512854,Puoi acquistarlo cliccando sull’icona del carrello🩵🪄,not harmful,The description is promoting a product purchase and does not contain any harmful content as per the specified framework.
7524124293039426871,"Yes, this was filmed in silence…@Journey #bob #flight #duo #dreadhead #flying #public #yolo #delta #airlines #funny #fyp #fypシ #viral #viralvideo #trending #girls #foryoupage #foryou @Ava Sue’s backup",not harmful,"The description does not contain any references to harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation. It appears to be a lighthearted or humorous video related to flying."
7525422467616378135,SUPER CALI FRA GI LI STI CHE SPI RA LIDIBOBBY,not harmful,The description appears to be a playful or nonsensical phrase and does not contain any content related to the harmful categories listed in the framework.
7525500481419021591,All of the essentials 💅🏼 #chanel #tennis #wimbledone (ps the bag is Chanel from the 23 cruise collection 🎾 I got it from @Sellier Knightsbridge),not harmful,"The description is about fashion and luxury items, specifically mentioning a Chanel bag and tennis, which does not fall under any of the harmful content categories listed."
7524350409587084566,#partoriscenotteprimadellenozzedellasorella #sorelleinospedale #matrimonio,not harmful,The description appears to be about a personal or family event related to a wedding and does not contain any references to harmful content as defined by the framework.
7524681313882836246,"quando dico che la mia vita è un film non scherzo, sicuramente ho sempre qualcosa da raccontare 🙂🙂🙂🙂",not harmful,"The description does not contain any references to harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation. It appears to be a lighthearted statement about having interesting life experiences."
7525881242726812950,Οι τελευταίες στιγμές του 35χρονου πριν τον «ρουφήξει» τουρμπίνα αεροπλάνου στο Μπέργκαμο. #protothema #greecetiktok #tiktokgreece,harmful,"The description refers to a shocking and graphic event involving a fatal accident, which falls under the category of ""Shocking and Graphic Content: Extreme physical fighting + gore, Strong and frightening imagery."" This type of content can be distressing and is not suitable for minors."
