video_id,francesco_c,nicolo,placeholder,final
7532208154524929302,0,0,0,no
7529607971307867447,1,1,1,yes
7526212982758575415,0,0,0,no
7531673034499837206,1,1,0,yes
7533569458548329750,0,0,1,no
7526278304085675286,1,1,1,yes
7525764595445763350,1,1,1,yes
7533361070161874198,0,0,1,no
7531860491245800726,0,0,0,no
7532848173333810455,0,0,0,no
7532540325403970838,1,0,1,yes
7530587705231674646,0,0,1,no
7516615886258588950,1,1,0,yes
7532105932562517270,0,0,0,no
7531755225275763990,0,0,0,no
7526459933156478230,0,0,0,no
7533620398542310678,1,0,1,yes
7531730961151692054,1,1,0,yes
7518088307402722582,1,1,0,yes
7532546674804198678,0,0,0,no
7530306163804523798,1,1,0,yes
7533287854575750423,1,1,0,yes
7533219228753677573,1,1,1,yes
7532815389860957462,0,0,0,no
7518799233026362646,1,0,0,no
7466438030002261270,1,1,0,yes
7525482564522364182,1,1,1,yes
7179230287287602438,1,1,0,yes
7125746944718195973,0,0,1,no
7528391792278899990,1,1,0,yes
7484173564115995926,1,1,1,yes
7491403583548591382,1,1,1,yes
7462310616657644822,0,0,0,no
7109539613584280838,1,1,0,yes
6877596990742580482,0,0,1,no
7515741420045602070,1,1,0,yes
7444252433737387286,0,0,0,no
7088294112385944838,1,0,0,no
7516855735884565782,0,0,0,no
7527687400240254230,1,1,0,yes
7387770845847997728,0,0,0,no
7534636428534320406,0,0,0,no
7514299779073969431,0,0,0,no
7460491818732391702,0,0,0,no
7244169215295425819,1,1,1,yes
7526273344476286230,1,1,0,yes
7147006134648311045,0,0,0,no
7302810829399805216,1,1,1,yes
7397108398703004961,1,1,0,yes
7499836724701367574,1,1,0,yes
7526973477438459158,1,1,0,yes
7531071828878429462,0,0,0,no
7530259258202443030,0,0,0,no
7532077184995839254,0,0,0,no
7532922930603379990,0,0,0,no
7520297317203709206,0,0,0,no
7530534267160399126,0,0,0,no
7530807033600232726,0,0,0,no
7519981705139113238,1,1,1,yes
7503547470006226198,0,0,0,no
7525124927331044630,0,0,0,no
7532898336269962518,0,0,0,no
7532508942467960086,0,0,0,no
7532208700942077190,0,0,1,no
7527346617104551190,0,0,0,no
7526701516003020054,0,0,0,no
7529659133415525654,0,0,0,no
7533599474694884630,0,0,1,no
7532199191431613719,0,0,0,no
7530376607287086359,0,0,0,no
7531347646338862369,1,0,1,yes
7519826511478836536,0,0,0,no
7529247827004869920,0,0,0,no
7529854406465015062,0,0,0,no
7531304252568767766,0,0,0,no
7296111153678273825,0,0,0,no
7483143172424568086,1,1,0,yes
7458262513440918806,1,1,0,yes
7400080103746719009,1,1,1,yes
7507659289356422422,0,0,0,no
7389897779604147489,0,0,0,no
7523294263795289366,0,0,0,no
7466174234088230166,1,1,1,yes
7534094634469821718,0,0,0,no
7506163301282237718,1,1,0,yes
7224084683972168986,0,0,0,no
7500547339354983702,1,1,1,yes
7236105466164645125,0,0,0,no
7528685120945966358,0,0,0,no
7470415804127792406,1,0,0,no
7503623167622139158,0,0,0,no
7498596231657098551,0,0,0,no
7181779872665160987,1,1,0,yes
7434218291268160791,1,1,1,yes
7519166988380278038,1,1,1,yes
7527967112753679647,1,1,0,yes
7525505003713219862,0,0,1,no
7528421461162282262,1,0,0,no
7527691460171418902,1,1,0,yes
7405545761762463009,1,0,1,yes
