video_id,harmful,reasoning
7526089595210009878,not harmful,"The description reflects on the value of life and gratitude, promoting a positive and uplifting message without any harmful content."
7525026911689411846,not harmful,"The video descriptions provided do not contain any references to harmful content as outlined in the harmful content framework. They appear to be related to general entertainment, personal stories, and creative content without any explicit or suggestive themes."
7523246058491907350,not harmful,"The description promotes a clothing item designed for comfort and practicality, particularly for those who experience chafing. It does not contain any harmful content as per the specified framework."
7524415474935893270,not harmful,"The description appears to be about a new look or style in Zanzibar and includes hashtags related to the location. There is no indication of harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation."
7525378106174016824,unclear,"I'm sorry, but I need a video description to classify it as 'harmful' or 'not harmful'. Please provide the description you would like me to evaluate."
7525159743791402262,not harmful,"The description does not contain any harmful content as per the provided framework. It appears to be a teaser or reveal about a friend, which does not fall under any of the harmful categories."
7525382852557475094,not harmful,No video description was provided to evaluate for harmful content.
7525422467616378135,not harmful,The description appears to be a playful or nonsensical phrase and does not contain any harmful content as outlined in the harmful content framework.
7525500481419021591,not harmful,"The description is focused on fashion and luxury items, specifically mentioning a Chanel bag and tennis, without any reference to harmful content or themes."
7525881242726812950,harmful,"The description refers to a shocking and graphic event involving a fatal accident, which falls under the category of ""Shocking and Graphic Content: Extreme physical fighting + gore, Strong and frightening imagery."" This type of content can be harmful and distressing, especially for minors."
7525995841090276630,not harmful,"The description does not contain any references to harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation. It appears to be a celebratory or fun post."
7526210308453551382,not harmful,"The description humorously suggests that running is beneficial, which does not fall under any harmful content categories."
7525771619768306966,not harmful,"The description is expressing admiration and excitement about a concert, which does not fall under any harmful content categories."
7525144376725589270,not harmful,"The description ""CIAOOO"" is simply a greeting and does not contain any harmful content as per the provided framework."
7524290275536063766,not harmful,"The description appears to be promoting a product related to convenience or comfort, likely a smaller or more manageable item compared to a large mattress. There is no indication of harmful content or themes that would be inappropriate for minors."
7525050398047030550,not harmful,"The description ""@cam👩🏼‍🦰"" does not contain any harmful content or themes as outlined in the framework. It appears to be a simple mention or tag without context suggesting toxicity."
7525233806333316374,not harmful,The description is about a live show or concert experience and does not contain any harmful content as per the specified framework.
7525052521291910422,not harmful,The description contains hashtags related to fitness and does not indicate any harmful content under the specified framework.
7525793072060337410,not harmful,"The description simply mentions a username with a heart emoji, which does not indicate any harmful content or themes."
7525406297777261846,not harmful,The description is simply about sharing personal preferences for places to have an aperitif in Milan and does not contain any harmful content as per the framework.
7524665141263142166,not harmful,"The video description is about making a traditional Albanian sweet called Llokume. It includes a recipe and cultural context, which is educational and non-harmful. There is no mention of any harmful content as per the framework provided."
7525502735421164822,not harmful,"The description ""Ah"" is vague and does not contain any harmful content or themes outlined in the harmful content framework."
7526135440949218582,not harmful,The description expresses affection and does not contain any harmful content related to the specified categories.
7525137586877173014,not harmful,"The description is light-hearted and humorous, discussing a shopping experience without any reference to harmful content or themes."
7525214372327705878,not harmful,"The description discusses a car accident and damage to a vehicle, which does not fall under any of the harmful content categories such as disordered eating, self-harm, or mature themes. It does not contain shocking or graphic content, hate speech, abuse, addiction, or misinformation."
7526165377357761814,not harmful,"The description appears to be a lighthearted comment about a trend or meme, possibly related to a sports team, without any reference to harmful content or themes."
7525120138346122518,not harmful,"The description ""datemi due settimane😂"" (which translates to ""give me two weeks😂"") does not contain any harmful content as per the specified framework. It appears to be a humorous or light-hearted statement without any reference to the harmful categories listed."
7525173379477867798,not harmful,The description expresses admiration for someone's appearance and humorously asks for help in finding them. It does not contain any harmful content as per the specified framework.
7525530334570482966,not harmful,"The description is positive and motivational, focusing on personal goals and a change in hairstyle, without any reference to harmful content."
7526281674116599062,not harmful,The description contains hashtags related to comedy and does not reference any harmful content or themes.
7514362328146562326,unclear,"1. not harmful. Reasoning: The description discusses medical cases and is tagged with general interest hashtags, which do not fall under any harmful content categories.

2. harmful. Reasoning: The description mentions ""The WORST Way To Drown,"" which could imply dangerous activity or challenges related to water accidents.

3. not harmful. Reasoning: The description involves a general discussion about personal behavior and learning, which does not fall under any harmful content categories.

4. not harmful. Reasoning: The description is about a mother's life and experiences, which does not fall under any harmful content categories.

5. harmful. Reasoning: The description involves a ""breath challenge,"" which could encourage dangerous activity related to holding one's breath.

6. not harmful. Reasoning: The description discusses personal realizations and self-esteem issues, which do not fall under any harmful content categories.

7. not harmful. Reasoning: The description involves storytelling about customer service experiences, which does"
7525116360251182358,not harmful,No description was provided to evaluate for harmful content.
7525036627371101462,not harmful,"The description ""Piccreee"" does not contain any harmful content or themes as outlined in the harmful content framework. It appears to be a nonspecific or playful term without context suggesting toxicity."
7525969031724027158,not harmful,"The description appears to be a simple mention of a person's face and an Instagram handle, without any indication of harmful content as per the specified framework."
7525846202538265878,not harmful,"The description ""chi paga????"" is vague and does not contain any harmful content related to the specified categories. It does not promote or suggest any dangerous or mature themes, nor does it contain misinformation or hate speech."
7525589366220000534,not harmful,"The description includes hashtags related to humor and cars, and mentions friends. There is no indication of harmful content or themes that fall under the harmful content framework."
7524729889195347222,not harmful,"The description suggests a humorous and light-hearted video involving a team trying out headshots, likely in a safe and controlled environment given the context of ""stuntman"" and ""funny."" There is no indication of harmful or dangerous content."
7526153762008894743,not harmful,The description is related to football (soccer) and does not contain any harmful content as per the specified framework. It appears to be a sports-related post celebrating a player's return to a league.
7525118386003627286,not harmful,"The description appears to be about friends having fun and dancing, which does not fall under any of the harmful content categories listed."
7523608732589215006,not harmful,The description simply references a national holiday and does not contain any harmful content as outlined in the harmful content framework.
7514718261448101142,not harmful,"The descriptions provided do not contain any harmful content as per the specified framework. They discuss topics like football, family dynamics, and political commentary without promoting disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation."
7525420247810051350,not harmful,"The description is in Italian and translates to ""there is understanding between blondes, we understand each other better. Do you like this duo? 🥰💕"". It is a positive and harmless statement about a duo, with no reference to any harmful content."
7519144457481080086,not harmful,"The video descriptions primarily contain hashtags and phrases related to humor, beauty routines, friendship, and general content creation. There is a mention of ""alcoholismo"" and ""adiccion,"" but it appears to be in the context of discussing or addressing these issues rather than promoting them. There is no explicit indication of harmful content as per the framework provided."
7522552866494549270,not harmful,The description consists only of user tags and does not contain any harmful content or themes.
7525114524895137037,not harmful,"The description is related to travel and humor, with no indication of harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation."
7525499368191855894,not harmful,"The description discusses an age gap in a relationship, which is not inherently harmful or harmful. It does not promote any of the harmful content categories listed in the framework."
7525592369954295042,not harmful,"The description does not contain any references to harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation. It appears to be a casual or promotional post related to a vacation or study trip."
7526263941396483350,harmful,"This description could imply racial stereotypes or promote racial competition, which falls under hate speech or behavior."
7526234388783303958,not harmful,The description does not contain any harmful content related to the specified categories. It appears to be a playful or humorous statement without any explicit or harmful implications.
7525794654189751574,not harmful,"The description appears to be a question about a song, which does not fall under any of the harmful content categories listed."
7525002748551613718,not harmful,"The description ""#perte"" is vague and does not inherently suggest any harmful content under the specified framework. It could relate to a variety of non-harmful topics."
7524419281799384342,not harmful,The description appears to be about a traffic incident in a specific location and does not contain any harmful content as per the provided framework.
7524966666590047510,not harmful,"The description appears to be about a girl in Mykonos, which is a popular travel destination. There is no indication of harmful content related to the specified categories."
7525877803401907458,not harmful,The description does not contain any harmful content related to the specified categories. It appears to be a casual or humorous remark without context indicating toxicity.
7525775639949937943,not harmful,"The description mentions losing patience in a non-official context, which does not fall under any harmful content categories such as disordered eating, self-harm, or mature themes. It appears to be a light-hearted or humorous remark without harmful implications."
7523193591708044566,not harmful,"The description ""#takemymind"" is vague and does not inherently suggest any harmful content based on the provided framework. It does not reference any specific themes or activities that would be considered harmful."
