video_id,nicolo,francesco_c,francesco_p,final
7524044898320928022,1,0,1,1
7525573634211990817,0,1,1,1
7524661865750793494,0,0,1,0
7525041874961403138,1,1,0,1
7526635921509190935,1,1,1,1
7525827413977140512,0,1,1,1
7525881242726812950,1,0,1,1
7524729889195347222,1,0,1,1
7525878898891017494,0,0,1,0
7525901699786083606,1,1,1,1
7526270520975789334,1,1,0,1
7526263941396483350,1,1,0,1
7526122349804915990,0,0,1,0
7525190232023534870,1,0,1,1
7527707383221521686,1,1,1,1
7524005368129752342,1,1,1,1
7531818494866836758,1,0,1,1
7523193591708044566,1,1,1,1
7531415896380771606,0,1,1,1
7528729403703037206,1,0,1,1
7531386677319847190,1,0,1,1
7526640068245753090,1,1,1,1
7525114797646449942,0,0,1,0
7530266588931476758,0,0,1,0
7532501688695983382,1,1,1,1
7533655549611600000,0,0,1,0
7246645137130933531,0,0,1,0
7506860766541417774,0,0,1,0
7464921100137303298,1,1,1,1
7377692112726297888,1,0,0,0
6920327799400123650,0,1,1,1
7404395956147391761,0,0,1,0
6921392991865228545,0,1,0,0
7515087693735283990,1,1,0,1
7522448994635615510,1,1,1,1
7510956346385190166,0,1,0,0
7519457157436181782,0,0,0,0
7524346253841288470,1,1,0,1
7512361167239564566,0,0,0,0
7514832830648667448,0,0,1,0
7526770716977466679,1,0,1,1
7307696561721494815,1,1,1,1
7381960358648401183,1,1,1,1
7113951307614014725,0,1,1,1
7524269726965583126,1,1,1,1
7509767009211583766,1,1,1,1
7284804889450941742,0,0,1,0
7213029818571721989,0,0,0,0
7446523583960026390,0,1,1,1
7499836724701367574,1,1,1,1
7515741420045602070,1,1,1,1
7530979068397784342,0,0,0,0
7530998554932825366,1,1,1,1
7533231674411601174,1,0,1,1
7525478611101502742,0,0,0,0
7525712193053134088,1,0,1,1
7525764595445763350,1,1,1,1
7531304252568767766,0,0,0,0
7532044654527794454,1,0,0,0
7531421199528709398,0,0,0,0
7530281831581715734,0,0,0,0
7531848335192476950,1,1,0,1
7529203786896641302,0,0,0,0
7519800077242715414,1,0,0,0
7528543754412838166,1,1,0,1
7529929351337348374,0,0,0,0
7530336010937437462,0,0,1,0
7519442047871274262,1,0,1,1
7533329373630352662,1,1,1,1
7529607407559920918,0,1,0,0
7529869875464998166,1,1,1,1
7531057443019836694,1,1,1,1
7529647037122366742,0,1,0,0
7533257429358857494,1,0,0,0
7533384463401684246,0,0,1,0
7497238138729876767,0,0,1,0
7480999692629740822,0,1,1,1
7500312114255416598,1,1,1,1
7526562321343253782,1,1,1,1
7424548974671039776,0,1,1,1
7484251141031660808,0,1,1,1
7523351367012846870,0,0,0,0
7350377719894527262,0,0,0,0
7199644778131131654,0,1,0,0
7424838932812057889,0,0,0,0
7449092716434033943,1,1,1,1
7181890581570931974,0,0,0,0
7526669250795228438,1,1,1,1
7528685120945966358,0,0,0,0
7388499345856810272,0,1,0,0
7526167574497856790,0,1,0,0
7471580907594337558,0,1,0,0
7516855735884565782,0,1,0,0
7498811585343933718,1,1,0,1
7520917355132718358,0,0,0,0
7512367388290157846,0,0,0,0
7180313738807905542,0,0,0,0
7509247677180267798,1,1,1,1
7518006962731191574,1,1,1,1
7244643307052191002,1,1,1,1
